country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-9.05011672,-5.532040692,-3.5180760280000003
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-8.20238492,-5.52795779,-2.67442713
Cyprus,stealing property,-0.898989898989899,-7.41373014,-4.072286854,-3.3414432860000005
Cyprus,cheating on taxes,-0.8644713261648745,-8.23825998,-5.217884740000001,-3.020375240000001
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-12.002520739999998,-8.730534819999999,-3.2719859199999997
Cyprus,homosexuality,-0.39444444444444443,-9.758165819999999,-8.18748244,-1.5706833799999997
Cyprus,prostitution,-0.7247097844112769,-9.8753134,-7.983549480000001,-1.8917639200000003
Cyprus,abortion,-0.551994301994302,-7.93057532,-6.948891825999999,-0.9816834940000003
Cyprus,divorce,-0.06657436252451827,-8.49990378,-7.697567339999999,-0.8023364400000004
Cyprus,sex before marriage,-0.09383249340052796,-9.1636017,-6.105908959999999,-3.0576927400000007
Cyprus,suicide,-0.8317426652527397,-8.5282718,-6.32838212,-2.1998896800000005
Cyprus,euthanasia,-0.617310443490701,-7.197664682,-6.0129768544,-1.1846878276000001
Cyprus,for a man to beat his wife,-0.9285473542298618,-6.944027353999999,-4.615912367,-2.328114987
Cyprus,parents beating children,-0.894500561167228,-7.334551252,-5.222792256,-2.111758996
Cyprus,violence against other people,-0.905656159177286,-7.604412346000001,-4.502134046,-3.1022783
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-9.355274750000001,-6.246657186,-3.108617564
Cyprus,having casual sex,-0.5917642882499113,-7.7102350799999995,-7.0433807,-0.6668543799999996
Cyprus,political violence,-0.9269776876267748,-9.83881374,-7.291740300000001,-2.54707344
Cyprus,death penalty,-0.6278858182645286,-7.700342340000001,-6.062412848,-1.637929492
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-9.059439639999999,-5.648121368,-3.411318272
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-8.04043128,-5.545580006,-2.4948512739999997
Ecuador,stealing property,-0.7960171226502885,-6.431559326,-3.8772895800000002,-2.554269746
Ecuador,cheating on taxes,-0.7032668726013293,-8.08530544,-4.772453006,-3.312852434
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-12.7268289,-8.542436431999999,-4.184392468
Ecuador,homosexuality,-0.398976735206101,-9.96013488,-8.146702099999999,-1.8134327799999999
Ecuador,prostitution,-0.451775683138151,-9.38828326,-8.26130868,-1.1269745799999997
Ecuador,abortion,-0.6555274735561172,-7.614553873999999,-6.724802692,-0.8897511820000001
Ecuador,divorce,-0.2515705578996718,-8.56830636,-7.2993058999999985,-1.2690004600000002
Ecuador,sex before marriage,-0.33447001989201475,-8.9830428,-5.94700544,-3.0360373599999995
Ecuador,suicide,-0.6826471141191953,-7.47045198,-5.836417876,-1.6340341040000002
Ecuador,euthanasia,-0.4759380521775284,-6.603645204,-5.9770978734,-0.6265473305999995
Ecuador,for a man to beat his wife,-0.806577480490524,-6.612075458,-5.1039356116,-1.5081398463999995
Ecuador,parents beating children,-0.4899116689911669,-6.531621476,-4.8961271812,-1.6354942947999997
Ecuador,violence against other people,-0.7385402138540214,-7.3008115,-3.8774677867999996,-3.4233437132
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-8.598885604,-5.907290119000001,-2.691595485
Ecuador,having casual sex,-0.5423167848699764,-7.61345134,-6.806820139999999,-0.8066312000000002
Ecuador,political violence,-0.6855275443510738,-9.608631120000002,-6.629901579999999,-2.97872954
Ecuador,death penalty,-0.4098514758413236,-6.870770153999999,-6.35461427,-0.5161558839999999
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-8.26808944,-5.919764205999999,-2.3483252340000003
Greece,avoiding a fare on public transport,-0.6914508493455862,-7.63701968,-6.7597831600000005,-0.87723652
Greece,stealing property,-0.9709902370990239,-6.255372148,-3.8452516219999993,-2.410120526
Greece,cheating on taxes,-0.8491198658843251,-7.71195556,-5.67949792,-2.0324576399999996
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-11.487074060000001,-8.510040192,-2.9770338680000004
Greece,homosexuality,-0.1633535004321521,-9.0723059,-8.328383859999999,-0.74392204
Greece,prostitution,-0.33750118404849866,-8.957395739999999,-8.35745506,-0.5999406800000001
Greece,abortion,-0.2055414192818773,-7.312564159999999,-6.710278560000001,-0.6022856
Greece,divorce,0.3035914702581369,-8.03975376,-7.24043956,-0.7993141999999998
Greece,sex before marriage,0.42597328786587096,-8.57552226,-6.159768860000002,-2.4157533999999994
Greece,suicide,-0.8033314404694303,-7.13882108,-5.72846558,-1.4103554999999997
Greece,euthanasia,-0.5317672712855585,-6.5315926399999995,-5.7520058706,-0.7795867694
Greece,for a man to beat his wife,-0.9706674092639003,-6.17477071,-5.1327971628,-1.0419735472
Greece,parents beating children,-0.9508439992580227,-6.7022860479999995,-5.438377626,-1.2639084219999996
Greece,violence against other people,-0.9575656058068118,-6.486394012000001,-4.1637976374,-2.3225963746000002
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-8.67266826,-6.383773859,-2.2888944010000003
Greece,having casual sex,-0.0340058728805532,-7.52522166,-6.83723082,-0.68799084
Greece,political violence,-0.899623352165725,-9.0294018,-7.11041674,-1.9189850600000002
Greece,death penalty,-0.6814555360965168,-7.100556020000001,-5.931694348000001,-1.1688616719999998
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-8.4149041,-5.394840535999999,-3.020063564
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-8.340333480000002,-6.11523702,-2.22509646
Indonesia,stealing property,-0.876442775691837,-6.469253360000001,-3.973383004,-2.4958703559999997
