country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-15.398267,-13.363327,-2.0349398
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-14.88519,-13.0046215,-1.8805676
Cyprus,stealing property,-0.898989898989899,-15.784012,-13.406052,-2.3779604
Cyprus,cheating on taxes,-0.8644713261648745,-15.20138,-13.055382,-2.1459975
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-16.721493,-14.20184,-2.5196533
Cyprus,homosexuality,-0.39444444444444443,-14.289442,-13.015994,-1.273448
Cyprus,prostitution,-0.7247097844112769,-14.209127,-12.489165,-1.7199615
Cyprus,abortion,-0.551994301994302,-14.243991,-12.690555,-1.5534365
Cyprus,divorce,-0.06657436252451827,-14.322141,-13.533188,-0.78895247
Cyprus,sex before marriage,-0.09383249340052796,-14.108316,-13.5110445,-0.59727174
Cyprus,suicide,-0.8317426652527397,-14.984866,-13.304365,-1.6805022
Cyprus,euthanasia,-0.617310443490701,-14.087805,-12.782626,-1.3051775
Cyprus,for a man to beat his wife,-0.9285473542298618,-16.898975,-13.939447,-2.9595294
Cyprus,parents beating children,-0.894500561167228,-15.516809,-13.118596,-2.3982122
Cyprus,violence against other people,-0.905656159177286,-16.06785,-13.81872,-2.2491305
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-17.215836,-14.978781,-2.2370543
Cyprus,having casual sex,-0.5917642882499113,-14.5669985,-13.185206,-1.3817917
Cyprus,political violence,-0.9269776876267748,-15.944638,-13.882044,-2.062595
Cyprus,death penalty,-0.6278858182645286,-14.430349,-12.8758745,-1.5544767
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-14.124875,-12.601383,-1.5234909
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-13.68647,-12.259664,-1.4268067
Ecuador,stealing property,-0.7960171226502885,-14.724817,-12.623424,-2.1013932
Ecuador,cheating on taxes,-0.7032668726013293,-14.287743,-12.312915,-1.9748274
