country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-10.647691,-9.586761,-1.0609291
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.820848,-10.594571,-0.22627735
Cyprus,stealing property,-0.898989898989899,-11.542646,-10.213465,-1.3291827
Cyprus,cheating on taxes,-0.8644713261648745,-11.627115,-10.263587,-1.3635285
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-11.180355,-9.807478,-1.3728775
Cyprus,homosexuality,-0.39444444444444443,-11.351663,-10.578104,-0.7735591
Cyprus,prostitution,-0.7247097844112769,-11.64212,-10.359777,-1.2823423
Cyprus,abortion,-0.551994301994302,-11.265874,-10.276487,-0.989385
Cyprus,divorce,-0.06657436252451827,-10.796786,-10.378624,-0.4181623
Cyprus,sex before marriage,-0.09383249340052796,-11.173802,-10.544248,-0.62955457
Cyprus,suicide,-0.8317426652527397,-11.449155,-10.466152,-0.98300284
Cyprus,euthanasia,-0.617310443490701,-10.726949,-10.132899,-0.5940491
Cyprus,for a man to beat his wife,-0.9285473542298618,-10.967871,-9.704312,-1.2635592
Cyprus,parents beating children,-0.894500561167228,-11.653456,-10.213504,-1.4399521
Cyprus,violence against other people,-0.905656159177286,-11.519101,-10.249097,-1.2700039
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-11.182293,-9.915272,-1.2670215
Cyprus,having casual sex,-0.5917642882499113,-11.965666,-10.540294,-1.4253715
Cyprus,political violence,-0.9269776876267748,-11.267891,-10.203624,-1.0642662
Cyprus,death penalty,-0.6278858182645286,-10.848926,-10.044695,-0.80423087
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-10.988866,-9.851027,-1.1378387
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-11.0874815,-10.683766,-0.4037152
Ecuador,stealing property,-0.7960171226502885,-11.871937,-10.439439,-1.4324992
Ecuador,cheating on taxes,-0.7032668726013293,-11.957788,-10.493219,-1.4645698
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.458728,-10.050662,-1.4080652
Ecuador,homosexuality,-0.398976735206101,-11.737665,-10.661227,-1.0764372
Ecuador,prostitution,-0.451775683138151,-12.005208,-10.516478,-1.4887292
Ecuador,abortion,-0.6555274735561172,-11.670938,-10.376832,-1.2941049
Ecuador,divorce,-0.2515705578996718,-11.128717,-10.505829,-0.62288845
Ecuador,sex before marriage,-0.33447001989201475,-11.582959,-10.696271,-0.8866887
Ecuador,suicide,-0.6826471141191953,-11.8579855,-10.697592,-1.1603943
Ecuador,euthanasia,-0.4759380521775284,-10.9820385,-10.193861,-0.78817785
Ecuador,for a man to beat his wife,-0.806577480490524,-11.507467,-10.093478,-1.4139882
Ecuador,parents beating children,-0.4899116689911669,-12.04909,-10.529482,-1.5196092
Ecuador,violence against other people,-0.7385402138540214,-11.903307,-10.491648,-1.411658
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-11.570202,-10.0986395,-1.4715626
Ecuador,having casual sex,-0.5423167848699764,-12.28017,-10.728498,-1.5516722
Ecuador,political violence,-0.6855275443510738,-11.644083,-10.296931,-1.347151
Ecuador,death penalty,-0.4098514758413236,-11.267247,-10.223086,-1.0441611
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-10.67185,-9.787342,-0.884508
Greece,avoiding a fare on public transport,-0.6914508493455862,-10.799606,-10.783134,-0.016471814
Greece,stealing property,-0.9709902370990239,-11.423058,-10.329596,-1.0934627
Greece,cheating on taxes,-0.8491198658843251,-11.566149,-10.416765,-1.1493828
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-11.1018305,-9.902078,-1.1997532
Greece,homosexuality,-0.1633535004321521,-11.304422,-10.713464,-0.59095925
Greece,prostitution,-0.33750118404849866,-11.577226,-10.50002,-1.0772051
Greece,abortion,-0.2055414192818773,-11.145491,-10.442248,-0.70324296
Greece,divorce,0.3035914702581369,-10.83111,-10.515284,-0.3158277
Greece,sex before marriage,0.42597328786587096,-11.212522,-10.804357,-0.40816435
Greece,suicide,-0.8033314404694303,-11.422114,-10.645732,-0.7763816
Greece,euthanasia,-0.5317672712855585,-10.74394,-10.320772,-0.42316836
Greece,for a man to beat his wife,-0.9706674092639003,-10.991023,-9.916275,-1.0747486
Greece,parents beating children,-0.9508439992580227,-11.535845,-10.321411,-1.214434
Greece,violence against other people,-0.9575656058068118,-11.499854,-10.373882,-1.125972
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-11.253903,-10.080864,-1.1730391
Greece,having casual sex,-0.0340058728805532,-11.865103,-10.684149,-1.1809542
Greece,political violence,-0.899623352165725,-11.2251005,-10.269987,-0.9551128
Greece,death penalty,-0.6814555360965168,-10.857031,-10.22254,-0.6344899
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-12.974566,-10.603625,-2.3709402
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-12.406649,-10.899916,-1.5067327
Indonesia,stealing property,-0.876442775691837,-13.35052,-11.186111,-2.1644092
Indonesia,cheating on taxes,-0.666353481574277,-13.345899,-11.100612,-2.2452855
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-12.606297,-10.415788,-2.1905093
Indonesia,homosexuality,-0.8643949688164175,-13.674683,-11.306753,-2.3679304
Indonesia,prostitution,-0.8741599637870399,-13.5280285,-11.143493,-2.3845363
Indonesia,abortion,-0.8719420955562516,-13.44091,-11.0255995,-2.41531
Indonesia,divorce,-0.6242804814233386,-12.78863,-10.947664,-1.8409641
Indonesia,sex before marriage,-0.8572521207064387,-13.740358,-11.346831,-2.3935266
