country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-10.9919,-9.601802,-1.3900982
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.557837,-10.162517,-0.39531937
Cyprus,stealing property,-0.898989898989899,-11.051568,-9.95466,-1.0969082
Cyprus,cheating on taxes,-0.8644713261648745,-10.9229765,-9.844599,-1.0783788
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-10.84701,-9.76025,-1.0867598
Cyprus,homosexuality,-0.39444444444444443,-11.608111,-10.479691,-1.1284208
Cyprus,prostitution,-0.7247097844112769,-11.291025,-10.191626,-1.0993992
Cyprus,abortion,-0.551994301994302,-10.609491,-9.912664,-0.6968284
Cyprus,divorce,-0.06657436252451827,-10.405005,-9.925695,-0.47931027
Cyprus,sex before marriage,-0.09383249340052796,-11.221945,-10.360964,-0.86098146
Cyprus,suicide,-0.8317426652527397,-10.930699,-10.194991,-0.7357077
Cyprus,euthanasia,-0.617310443490701,-10.269193,-9.691412,-0.5777799
Cyprus,for a man to beat his wife,-0.9285473542298618,-10.778882,-9.693472,-1.0854089
Cyprus,parents beating children,-0.894500561167228,-11.048969,-9.900733,-1.1482359
Cyprus,violence against other people,-0.905656159177286,-10.973205,-9.965132,-1.0080732
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-11.235433,-10.020723,-1.2147093
Cyprus,having casual sex,-0.5917642882499113,-11.726284,-10.414419,-1.3118645
Cyprus,political violence,-0.9269776876267748,-10.8354845,-10.067719,-0.7677646
Cyprus,death penalty,-0.6278858182645286,-10.436392,-9.701211,-0.7351819
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.54594,-9.921949,-1.6239914
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-11.074322,-10.297862,-0.77646
Ecuador,stealing property,-0.7960171226502885,-11.660014,-10.339716,-1.3202978
Ecuador,cheating on taxes,-0.7032668726013293,-11.611266,-10.229446,-1.38182
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.301851,-10.066801,-1.2350509
Ecuador,homosexuality,-0.398976735206101,-12.259555,-10.845851,-1.4137033
Ecuador,prostitution,-0.451775683138151,-11.873909,-10.510084,-1.3638251
Ecuador,abortion,-0.6555274735561172,-11.166216,-10.182578,-0.98363674
Ecuador,divorce,-0.2515705578996718,-11.13331,-10.198168,-0.93514186
Ecuador,sex before marriage,-0.33447001989201475,-11.960332,-10.660906,-1.2994263
Ecuador,suicide,-0.6826471141191953,-11.615873,-10.573992,-1.0418819
Ecuador,euthanasia,-0.4759380521775284,-10.839975,-9.910037,-0.92993754
Ecuador,for a man to beat his wife,-0.806577480490524,-11.399786,-10.09885,-1.3009351
Ecuador,parents beating children,-0.4899116689911669,-11.70186,-10.32493,-1.3769298
Ecuador,violence against other people,-0.7385402138540214,-11.572832,-10.250222,-1.3226095
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-11.830037,-10.431216,-1.3988212
Ecuador,having casual sex,-0.5423167848699764,-12.231294,-10.716562,-1.5147305
Ecuador,political violence,-0.6855275443510738,-11.417241,-10.227023,-1.1902176
Ecuador,death penalty,-0.4098514758413236,-11.036071,-9.930397,-1.1056743
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-10.748445,-9.560903,-1.1875422
Greece,avoiding a fare on public transport,-0.6914508493455862,-10.482135,-10.231947,-0.2501878
Greece,stealing property,-0.9709902370990239,-10.933846,-9.993224,-0.9406223
Greece,cheating on taxes,-0.8491198658843251,-10.955468,-9.952622,-1.0028454
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-10.700239,-9.75064,-0.94959867
Greece,homosexuality,-0.1633535004321521,-11.341037,-10.511938,-0.8290993
Greece,prostitution,-0.33750118404849866,-11.184324,-10.285608,-0.89871657
Greece,abortion,-0.2055414192818773,-10.584253,-10.068647,-0.515606
Greece,divorce,0.3035914702581369,-10.423258,-10.042946,-0.38031203
Greece,sex before marriage,0.42597328786587096,-11.102652,-10.464197,-0.6384544
Greece,suicide,-0.8033314404694303,-10.881684,-10.307371,-0.5743123
Greece,euthanasia,-0.5317672712855585,-10.333475,-9.852792,-0.48068285
Greece,for a man to beat his wife,-0.9706674092639003,-10.701937,-9.772688,-0.92924815
Greece,parents beating children,-0.9508439992580227,-10.975935,-9.968552,-1.0073836
Greece,violence against other people,-0.9575656058068118,-10.9417095,-10.017979,-0.9237313
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-11.1616125,-10.090506,-1.0711066
Greece,having casual sex,-0.0340058728805532,-11.470779,-10.388988,-1.0817913
Greece,political violence,-0.899623352165725,-10.775044,-10.067846,-0.70719707
Greece,death penalty,-0.6814555360965168,-10.434851,-9.8040495,-0.6308019
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-13.985257,-11.26582,-2.7194378
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-12.155414,-10.608541,-1.5468735
Indonesia,stealing property,-0.876442775691837,-12.996943,-11.013508,-1.9834353
Indonesia,cheating on taxes,-0.666353481574277,-12.806101,-10.766581,-2.0395203
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-12.559374,-10.663204,-1.8961693
Indonesia,homosexuality,-0.8643949688164175,-14.012522,-11.699696,-2.312827
Indonesia,prostitution,-0.8741599637870399,-13.344348,-11.115507,-2.22884
Indonesia,abortion,-0.8719420955562516,-12.78303,-10.808374,-1.9746555
