country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-7.9814134,-4.749649,-3.2317638
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-7.411763,-7.080929,-0.3308331
Cyprus,stealing property,-0.898989898989899,-6.7290316,-5.2263665,-1.5026652
Cyprus,cheating on taxes,-0.8644713261648745,-7.6015463,-5.9826136,-1.6189327
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-7.7640104,-5.9850187,-1.7789924
Cyprus,homosexuality,-0.39444444444444443,-7.8404512,-7.169523,-0.67092854
Cyprus,prostitution,-0.7247097844112769,-7.6697655,-7.8220987,0.15233259
Cyprus,abortion,-0.551994301994302,-6.9485044,-7.241881,0.29337665
Cyprus,divorce,-0.06657436252451827,-7.9586115,-8.068383,0.10977173
Cyprus,sex before marriage,-0.09383249340052796,-7.363336,-6.798105,-0.56523144
Cyprus,suicide,-0.8317426652527397,-7.5414667,-7.0181365,-0.5233298
Cyprus,euthanasia,-0.617310443490701,-6.4698677,-6.6092544,0.13938668
Cyprus,for a man to beat his wife,-0.9285473542298618,-6.952315,-5.192629,-1.7596852
Cyprus,parents beating children,-0.894500561167228,-6.2392282,-4.9966493,-1.2425787
Cyprus,violence against other people,-0.905656159177286,-5.733721,-5.2029104,-0.53081024
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-7.3708735,-7.1805954,-0.19027853
Cyprus,having casual sex,-0.5917642882499113,-6.616648,-6.200573,-0.4160758
Cyprus,political violence,-0.9269776876267748,-7.9829473,-7.91492,-0.0680273
Cyprus,death penalty,-0.6278858182645286,-7.0231657,-6.353747,-0.669419
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-7.8557024,-4.6877356,-3.167967
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-7.541215,-7.2944803,-0.24673462
Ecuador,stealing property,-0.7960171226502885,-6.808661,-5.160647,-1.6480148
Ecuador,cheating on taxes,-0.7032668726013293,-7.3880095,-5.750235,-1.6377742
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-7.8164787,-6.201457,-1.6150211
Ecuador,homosexuality,-0.398976735206101,-7.768843,-7.313398,-0.45544583
Ecuador,prostitution,-0.451775683138151,-7.552138,-8.052518,0.5003797
Ecuador,abortion,-0.6555274735561172,-6.7756104,-7.657302,0.8816916
Ecuador,divorce,-0.2515705578996718,-7.720267,-8.31036,0.59009343
Ecuador,sex before marriage,-0.33447001989201475,-7.287603,-6.6412177,-0.6463853
Ecuador,suicide,-0.6826471141191953,-7.0805,-6.7980537,-0.28244638
Ecuador,euthanasia,-0.4759380521775284,-6.3587117,-6.7054276,0.34671602
Ecuador,for a man to beat his wife,-0.806577480490524,-6.9760933,-5.178853,-1.797241
Ecuador,parents beating children,-0.4899116689911669,-6.259903,-4.97136,-1.2885425
Ecuador,violence against other people,-0.7385402138540214,-5.915646,-5.291823,-0.623823
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-7.0789886,-7.1853485,0.10636039
Ecuador,having casual sex,-0.5423167848699764,-6.3274155,-6.3846445,0.057229567
Ecuador,political violence,-0.6855275443510738,-7.7571287,-7.899521,0.14239207
Ecuador,death penalty,-0.4098514758413236,-6.60784,-6.050914,-0.55692637
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-7.65026,-4.5358024,-3.1144578
Greece,avoiding a fare on public transport,-0.6914508493455862,-7.5188837,-7.080971,-0.43791252
Greece,stealing property,-0.9709902370990239,-6.242481,-5.0095663,-1.2329152
Greece,cheating on taxes,-0.8491198658843251,-7.2712708,-5.8311167,-1.4401553
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-7.4036217,-5.826007,-1.5776147
Greece,homosexuality,-0.1633535004321521,-7.713472,-6.9029794,-0.8104931
Greece,prostitution,-0.33750118404849866,-7.497012,-7.509416,0.012404824
Greece,abortion,-0.2055414192818773,-6.8009706,-6.9901605,0.18919018
Greece,divorce,0.3035914702581369,-7.6589174,-7.1839685,-0.4749493
Greece,sex before marriage,0.42597328786587096,-7.267845,-6.4807906,-0.7870554
Greece,suicide,-0.8033314404694303,-7.5045676,-7.068399,-0.43616834
Greece,euthanasia,-0.5317672712855585,-6.3608727,-6.2057877,-0.1550847
Greece,for a man to beat his wife,-0.9706674092639003,-6.897217,-5.1572533,-1.7399635
Greece,parents beating children,-0.9508439992580227,-6.132502,-5.0003824,-1.1321198
Greece,violence against other people,-0.9575656058068118,-5.640719,-5.211897,-0.42882162
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-7.116852,-6.936185,-0.18066697
Greece,having casual sex,-0.0340058728805532,-6.576239,-6.213664,-0.36257505
Greece,political violence,-0.899623352165725,-7.472477,-7.602988,0.13051128
Greece,death penalty,-0.6814555360965168,-6.7123995,-6.2103715,-0.50202787
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-7.8972344,-4.544961,-3.352274
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-7.095443,-6.6470184,-0.44842428
Indonesia,stealing property,-0.876442775691837,-6.6506224,-5.192248,-1.4583747
Indonesia,cheating on taxes,-0.666353481574277,-7.514847,-5.9241514,-1.5906953
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-7.6255546,-5.6417885,-1.9837658
Indonesia,homosexuality,-0.8643949688164175,-8.227433,-7.0379057,-1.1895273
Indonesia,prostitution,-0.8741599637870399,-7.6023703,-7.715326,0.11295509
Indonesia,abortion,-0.8719420955562516,-7.0496492,-6.95251,-0.0971395
Indonesia,divorce,-0.6242804814233386,-7.757376,-7.516864,-0.24051256
Indonesia,sex before marriage,-0.8572521207064387,-7.3728395,-6.3514004,-1.0214385
Indonesia,suicide,-0.8923317683881065,-7.530542,-7.186301,-0.34424025
Indonesia,euthanasia,-0.7354099160308004,-6.4536195,-6.369218,-0.084401086
Indonesia,for a man to beat his wife,-0.8514114865804479,-6.9502754,-4.9586954,-1.9915804
Indonesia,parents beating children,-0.6807511737089202,-6.1973586,-4.905056,-1.2923026
Indonesia,violence against other people,-0.8081029386193704,-6.0165944,-5.1534643,-0.8631298
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,-7.241439,-6.855462,-0.38597783
Indonesia,having casual sex,-0.884430512016719,-6.583178,-6.187149,-0.39602882
Indonesia,political violence,-0.8260991712319146,-7.887349,-7.8138285,-0.07351999
Indonesia,death penalty,-0.47064194409327154,-6.7173243,-6.1454697,-0.5718544
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,-7.603101,-4.4251046,-3.1779969
Jordan,avoiding a fare on public transport,,-7.3690042,-6.491519,-0.87748396
Jordan,stealing property,-0.9164814814814816,-6.353038,-4.8922486,-1.4607887
Jordan,cheating on taxes,-0.7543075346931173,-7.4282784,-5.592007,-1.8362716
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,-7.1676545,-5.384047,-1.7836077
Jordan,homosexuality,-0.9397489539748954,-7.6022964,-6.533124,-1.0691723
Jordan,prostitution,,-7.3076873,-7.335491,0.027803803
Jordan,abortion,-0.7969156447417317,-6.7012086,-6.4552717,-0.2459367
Jordan,divorce,-0.375847024969832,-7.718558,-7.289636,-0.42892122
Jordan,sex before marriage,-0.9436069235064211,-7.061783,-6.401292,-0.6604911
Jordan,suicide,-0.9477777777777779,-7.0310884,-6.201011,-0.8300764
Jordan,euthanasia,-0.8888888888888887,-6.316381,-6.039178,-0.27720255
Jordan,for a man to beat his wife,-0.8682579332038117,-6.7286057,-4.847589,-1.881016
Jordan,parents beating children,-0.6559079948061585,-6.1482267,-4.922591,-1.2256353
