country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-11.231584,-10.14404,-1.0875428
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.568321,-10.05074,-0.5175812
Cyprus,stealing property,-0.898989898989899,-11.33544,-9.91658,-1.4188601
Cyprus,cheating on taxes,-0.8644713261648745,-11.550046,-9.932959,-1.6170874
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-11.908037,-10.111311,-1.7967255
Cyprus,homosexuality,-0.39444444444444443,-10.901068,-10.042587,-0.85848093
Cyprus,prostitution,-0.7247097844112769,-11.002537,-9.714771,-1.2877656
Cyprus,abortion,-0.551994301994302,-10.799413,-9.646162,-1.1532503
Cyprus,divorce,-0.06657436252451827,-10.393869,-10.372644,-0.021225262
Cyprus,sex before marriage,-0.09383249340052796,-11.046557,-10.030129,-1.016428
Cyprus,suicide,-0.8317426652527397,-10.829694,-10.158127,-0.67156684
Cyprus,euthanasia,-0.617310443490701,-10.58158,-9.792078,-0.78950197
Cyprus,for a man to beat his wife,-0.9285473542298618,-11.632978,-10.00223,-1.6307497
Cyprus,parents beating children,-0.894500561167228,-11.120511,-9.700284,-1.4202274
Cyprus,violence against other people,-0.905656159177286,-12.221316,-10.86923,-1.3520874
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-12.477217,-11.285273,-1.1919466
Cyprus,having casual sex,-0.5917642882499113,-11.188977,-9.940035,-1.2489414
Cyprus,political violence,-0.9269776876267748,-12.134249,-10.93051,-1.2037385
Cyprus,death penalty,-0.6278858182645286,-10.629143,-9.887153,-0.7419893
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.160985,-9.788546,-1.3724396
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-10.475354,-9.677515,-0.79783946
Ecuador,stealing property,-0.7960171226502885,-11.123811,-9.554401,-1.5694093
Ecuador,cheating on taxes,-0.7032668726013293,-11.394279,-9.630652,-1.7636261
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.646807,-9.784936,-1.8618714
Ecuador,homosexuality,-0.398976735206101,-10.643309,-9.721016,-0.92229307
Ecuador,prostitution,-0.451775683138151,-10.645308,-9.320555,-1.3247529
Ecuador,abortion,-0.6555274735561172,-10.795576,-9.450597,-1.34498
Ecuador,divorce,-0.2515705578996718,-10.321971,-9.993498,-0.32847315
Ecuador,sex before marriage,-0.33447001989201475,-10.769798,-9.641652,-1.1281468
Ecuador,suicide,-0.6826471141191953,-10.816385,-9.99392,-0.82246417
Ecuador,euthanasia,-0.4759380521775284,-10.526434,-9.567843,-0.9585907
Ecuador,for a man to beat his wife,-0.806577480490524,-11.50952,-9.752101,-1.7574192
Ecuador,parents beating children,-0.4899116689911669,-10.9620285,-9.382877,-1.5791506
Ecuador,violence against other people,-0.7385402138540214,-11.967119,-10.5279255,-1.4391938
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-12.31829,-11.049971,-1.2683198
Ecuador,having casual sex,-0.5423167848699764,-10.687864,-9.620837,-1.0670259
Ecuador,political violence,-0.6855275443510738,-11.778854,-10.473801,-1.3050537
Ecuador,death penalty,-0.4098514758413236,-10.527651,-9.754733,-0.7729161
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-11.117126,-10.083462,-1.033664
Greece,avoiding a fare on public transport,-0.6914508493455862,-10.435691,-9.973972,-0.46171886
Greece,stealing property,-0.9709902370990239,-11.177129,-9.886281,-1.2908475
Greece,cheating on taxes,-0.8491198658843251,-11.446015,-9.93714,-1.5088748
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-11.868029,-10.168818,-1.6992099
Greece,homosexuality,-0.1633535004321521,-10.31835,-10.037445,-0.280905
Greece,prostitution,-0.33750118404849866,-10.582004,-9.63757,-0.9444337
Greece,abortion,-0.2055414192818773,-10.166197,-9.591303,-0.5748933
Greece,divorce,0.3035914702581369,-10.326033,-10.504462,0.17842987
Greece,sex before marriage,0.42597328786587096,-10.609415,-10.1193,-0.49011546
Greece,suicide,-0.8033314404694303,-10.727865,-10.227655,-0.5002104
Greece,euthanasia,-0.5317672712855585,-10.14235,-9.925373,-0.21697703
Greece,for a man to beat his wife,-0.9706674092639003,-11.635898,-10.1489315,-1.4869661
Greece,parents beating children,-0.9508439992580227,-11.063491,-9.787337,-1.2761542
Greece,violence against other people,-0.9575656058068118,-12.0795355,-10.873148,-1.2063874
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-12.328776,-11.229939,-1.0988377
Greece,having casual sex,-0.0340058728805532,-10.46189,-10.096805,-0.3650851
