country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-11.500096,-10.0245495,-1.4755466
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-11.225487,-10.077446,-1.148041
Cyprus,stealing property,-0.898989898989899,-12.3826475,-10.559094,-1.8235534
Cyprus,cheating on taxes,-0.8644713261648745,-12.054049,-10.219072,-1.8349762
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-12.224936,-10.28666,-1.9382751
Cyprus,homosexuality,-0.39444444444444443,-10.620334,-10.128744,-0.49158937
Cyprus,prostitution,-0.7247097844112769,-10.93248,-9.761319,-1.1711608
Cyprus,abortion,-0.551994301994302,-10.645519,-9.804903,-0.8406159
Cyprus,divorce,-0.06657436252451827,-10.419911,-10.693764,0.27385235
Cyprus,sex before marriage,-0.09383249340052796,-10.396227,-10.683251,0.28702384
Cyprus,suicide,-0.8317426652527397,-11.321131,-10.380667,-0.94046324
Cyprus,euthanasia,-0.617310443490701,-10.45042,-9.976177,-0.47424325
Cyprus,for a man to beat his wife,-0.9285473542298618,-11.6707735,-10.123785,-1.5469881
Cyprus,parents beating children,-0.894500561167228,-11.060876,-9.871187,-1.1896882
Cyprus,violence against other people,-0.905656159177286,-12.238867,-10.722406,-1.5164611
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-12.67068,-11.192583,-1.4780973
Cyprus,having casual sex,-0.5917642882499113,-10.753263,-10.321296,-0.43196726
Cyprus,political violence,-0.9269776876267748,-12.139524,-10.852723,-1.2868011
Cyprus,death penalty,-0.6278858182645286,-10.625358,-10.048493,-0.5768646
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.221832,-9.881613,-1.3402191
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-11.023413,-9.934451,-1.0889618
Ecuador,stealing property,-0.7960171226502885,-12.041899,-10.250395,-1.7915041
Ecuador,cheating on taxes,-0.7032668726013293,-11.800928,-10.008188,-1.7927399
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.750406,-9.961764,-1.7886417
Ecuador,homosexuality,-0.398976735206101,-10.466912,-9.993547,-0.47336426
Ecuador,prostitution,-0.451775683138151,-10.704202,-9.676546,-1.0276551
Ecuador,abortion,-0.6555274735561172,-10.579641,-9.779831,-0.7998109
Ecuador,divorce,-0.2515705578996718,-10.345163,-10.513916,0.16875286
Ecuador,sex before marriage,-0.33447001989201475,-10.334493,-10.3903885,0.055895947
Ecuador,suicide,-0.6826471141191953,-11.230367,-10.250521,-0.979846
Ecuador,euthanasia,-0.4759380521775284,-10.435346,-9.986237,-0.449109
Ecuador,for a man to beat his wife,-0.806577480490524,-11.400114,-9.911576,-1.4885375
Ecuador,parents beating children,-0.4899116689911669,-10.868731,-9.801416,-1.067313
Ecuador,violence against other people,-0.7385402138540214,-11.869532,-10.388537,-1.4809936
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-12.20344,-10.869479,-1.3339599
Ecuador,having casual sex,-0.5423167848699764,-10.616508,-10.170958,-0.44555062
Ecuador,political violence,-0.6855275443510738,-11.81823,-10.576414,-1.2418158
Ecuador,death penalty,-0.4098514758413236,-10.453577,-10.107458,-0.3461183
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-11.399033,-10.021039,-1.3779936
Greece,avoiding a fare on public transport,-0.6914508493455862,-11.139341,-10.09197,-1.0473722
Greece,stealing property,-0.9709902370990239,-12.241592,-10.551447,-1.6901459
Greece,cheating on taxes,-0.8491198658843251,-11.93661,-10.235268,-1.7013428
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-12.175941,-10.32538,-1.8505615
Greece,homosexuality,-0.1633535004321521,-10.387234,-10.074471,-0.31276247
Greece,prostitution,-0.33750118404849866,-10.663733,-9.729467,-0.93426543
Greece,abortion,-0.2055414192818773,-10.277864,-9.816726,-0.46113902
Greece,divorce,0.3035914702581369,-10.436148,-10.804975,0.36882606
Greece,sex before marriage,0.42597328786587096,-10.2482395,-10.941198,0.6929595
Greece,suicide,-0.8033314404694303,-11.274199,-10.414467,-0.85973203
Greece,euthanasia,-0.5317672712855585,-10.270353,-10.07995,-0.19040231
Greece,for a man to beat his wife,-0.9706674092639003,-11.711878,-10.277571,-1.4343078
Greece,parents beating children,-0.9508439992580227,-10.994499,-9.975713,-1.0187867
Greece,violence against other people,-0.9575656058068118,-12.131213,-10.687433,-1.4437805
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-12.520007,-11.139929,-1.3800781
Greece,having casual sex,-0.0340058728805532,-10.405425,-10.377114,-0.028311277
Greece,political violence,-0.899623352165725,-12.041844,-10.809111,-1.2327331
Greece,death penalty,-0.6814555360965168,-10.516721,-10.06875,-0.44797072
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-11.505774,-9.761881,-1.7438936
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-11.417616,-9.9097395,-1.5078766
Indonesia,stealing property,-0.876442775691837,-12.167567,-10.233376,-1.9341921
Indonesia,cheating on taxes,-0.666353481574277,-11.939275,-9.93023,-2.0090451
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-11.840723,-9.877774,-1.9629486
Indonesia,homosexuality,-0.8643949688164175,-11.695885,-9.845103,-1.8507811
Indonesia,prostitution,-0.8741599637870399,-11.736483,-9.715505,-2.0209777
Indonesia,abortion,-0.8719420955562516,-11.485815,-9.719492,-1.7663238
Indonesia,divorce,-0.6242804814233386,-10.804117,-9.677952,-1.1261657
Indonesia,sex before marriage,-0.8572521207064387,-11.766437,-9.900742,-1.865695
Indonesia,suicide,-0.8923317683881065,-11.838388,-10.368307,-1.4700807
Indonesia,euthanasia,-0.7354099160308004,-11.375755,-9.791618,-1.584137
Indonesia,for a man to beat his wife,-0.8514114865804479,-11.490666,-9.788088,-1.7025788
Indonesia,parents beating children,-0.6807511737089202,-11.041578,-9.700094,-1.3414854
Indonesia,violence against other people,-0.8081029386193704,-12.085348,-10.340933,-1.7444153
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,-12.388929,-10.705058,-1.6838715
Indonesia,having casual sex,-0.884430512016719,-11.730001,-9.84509,-1.8849121
Indonesia,political violence,-0.8260991712319146,-12.100929,-10.520424,-1.5805054
Indonesia,death penalty,-0.47064194409327154,-10.772177,-9.890398,-0.88177806
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,-11.615672,-10.107561,-1.5081117
Jordan,avoiding a fare on public transport,,-11.470064,-10.205276,-1.2647886
Jordan,stealing property,-0.9164814814814816,-12.488962,-10.484175,-2.0047882
Jordan,cheating on taxes,-0.7543075346931173,-12.347176,-10.255964,-2.091211
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,-12.14314,-10.232126,-1.9110138
Jordan,homosexuality,-0.9397489539748954,-12.125979,-10.340955,-1.785025
Jordan,prostitution,,-12.066824,-9.984392,-2.0824313
Jordan,abortion,-0.7969156447417317,-11.74073,-10.093843,-1.6468872
Jordan,divorce,-0.375847024969832,-11.15956,-10.207226,-0.952335
Jordan,sex before marriage,-0.9436069235064211,-12.154331,-10.284605,-1.8697265
Jordan,suicide,-0.9477777777777779,-12.098676,-10.647415,-1.4512602
Jordan,euthanasia,-0.8888888888888887,-11.639468,-10.078974,-1.560495
Jordan,for a man to beat his wife,-0.8682579332038117,-11.691157,-10.10378,-1.5873779
