country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-7.0357537,-3.7407403,-3.2950134
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-6.7765474,-5.8578134,-0.9187341
Cyprus,stealing property,-0.898989898989899,-6.721129,-5.1759515,-1.5451775
Cyprus,cheating on taxes,-0.8644713261648745,-6.9189744,-5.391625,-1.5273498
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-7.3880477,-6.104995,-1.283053
Cyprus,homosexuality,-0.39444444444444443,-8.692725,-7.2908697,-1.4018548
Cyprus,prostitution,-0.7247097844112769,-8.396577,-7.1779165,-1.2186598
Cyprus,abortion,-0.551994301994302,-8.136624,-7.5052695,-0.6313542
Cyprus,divorce,-0.06657436252451827,-8.087745,-7.444394,-0.6433512
Cyprus,sex before marriage,-0.09383249340052796,-8.1387205,-6.669301,-1.4694192
Cyprus,suicide,-0.8317426652527397,-7.5565376,-6.5613074,-0.9952299
Cyprus,euthanasia,-0.617310443490701,-7.3914084,-7.0694337,-0.3219754
Cyprus,for a man to beat his wife,-0.9285473542298618,-6.4652357,-4.447321,-2.0179152
Cyprus,parents beating children,-0.894500561167228,-6.37679,-4.474314,-1.9024756
Cyprus,violence against other people,-0.905656159177286,-6.926046,-5.248445,-1.6776005
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-7.829699,-5.8997583,-1.9299406
Cyprus,having casual sex,-0.5917642882499113,-7.1087213,-5.8472586,-1.2614626
Cyprus,political violence,-0.9269776876267748,-8.787782,-7.67593,-1.1118517
Cyprus,death penalty,-0.6278858182645286,-7.8848724,-7.1342897,-0.75058186
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-6.8797026,-3.7302678,-3.1494355
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-6.6901536,-5.837306,-0.85284823
Ecuador,stealing property,-0.7960171226502885,-6.5000677,-5.123888,-1.3761799
Ecuador,cheating on taxes,-0.7032668726013293,-6.65952,-5.206445,-1.453075
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-7.3272004,-6.1597524,-1.1674483
Ecuador,homosexuality,-0.398976735206101,-8.523774,-7.3408813,-1.1828929
Ecuador,prostitution,-0.451775683138151,-8.335052,-7.3627257,-0.97232616
Ecuador,abortion,-0.6555274735561172,-7.944642,-7.7793913,-0.16525073
Ecuador,divorce,-0.2515705578996718,-7.985775,-7.521888,-0.46388674
Ecuador,sex before marriage,-0.33447001989201475,-8.1442995,-6.7681885,-1.3761109
Ecuador,suicide,-0.6826471141191953,-7.365226,-6.4211287,-0.94409764
Ecuador,euthanasia,-0.4759380521775284,-7.2941003,-7.3324966,0.038397074
Ecuador,for a man to beat his wife,-0.806577480490524,-6.4113107,-4.5253572,-1.8859532
Ecuador,parents beating children,-0.4899116689911669,-6.391898,-4.390532,-2.0013666
