country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-11.790131,-10.03081,-1.75932
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.954768,-9.836116,-1.1186522
Cyprus,stealing property,-0.898989898989899,-11.893628,-10.163968,-1.72966
Cyprus,cheating on taxes,-0.8644713261648745,-11.546343,-9.806626,-1.7397159
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-11.952494,-10.098257,-1.8542362
Cyprus,homosexuality,-0.39444444444444443,-11.058695,-9.637377,-1.4213167
Cyprus,prostitution,-0.7247097844112769,-10.942603,-9.23787,-1.7047333
Cyprus,abortion,-0.551994301994302,-10.40295,-9.155243,-1.2477081
Cyprus,divorce,-0.06657436252451827,-10.52906,-10.122637,-0.40642413
Cyprus,sex before marriage,-0.09383249340052796,-11.061241,-9.736638,-1.3246033
Cyprus,suicide,-0.8317426652527397,-11.230658,-9.970202,-1.2604554
Cyprus,euthanasia,-0.617310443490701,-10.6856785,-9.39617,-1.2895081
Cyprus,for a man to beat his wife,-0.9285473542298618,-11.568085,-9.793499,-1.774585
Cyprus,parents beating children,-0.894500561167228,-11.0252075,-9.4496,-1.5756075
Cyprus,violence against other people,-0.905656159177286,-12.082896,-10.428174,-1.654721
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-12.414723,-10.840864,-1.5738587
Cyprus,having casual sex,-0.5917642882499113,-10.915693,-9.476515,-1.4391786
Cyprus,political violence,-0.9269776876267748,-11.706064,-10.231695,-1.4743685
Cyprus,death penalty,-0.6278858182645286,-10.665038,-9.551079,-1.1139587
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.531367,-9.792082,-1.7392852
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-10.788821,-9.612033,-1.1767884
Ecuador,stealing property,-0.7960171226502885,-11.647237,-9.915405,-1.73183
Ecuador,cheating on taxes,-0.7032668726013293,-11.305283,-9.565689,-1.7395939
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.625703,-9.813006,-1.8126953
Ecuador,homosexuality,-0.398976735206101,-10.556906,-9.350579,-1.2063265
Ecuador,prostitution,-0.451775683138151,-10.431364,-9.003263,-1.4281008
Ecuador,abortion,-0.6555274735561172,-10.043452,-9.022134,-1.0213196
Ecuador,divorce,-0.2515705578996718,-10.280744,-9.916202,-0.36454162
Ecuador,sex before marriage,-0.33447001989201475,-10.649648,-9.525887,-1.123761
Ecuador,suicide,-0.6826471141191953,-11.026541,-9.720981,-1.3055604
Ecuador,euthanasia,-0.4759380521775284,-10.421335,-9.361432,-1.0599031
Ecuador,for a man to beat his wife,-0.806577480490524,-11.4540205,-9.630659,-1.8233616
Ecuador,parents beating children,-0.4899116689911669,-10.84803,-9.280348,-1.5676817
Ecuador,violence against other people,-0.7385402138540214,-11.759303,-10.0865,-1.6728032
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-12.095969,-10.484122,-1.6118469
Ecuador,having casual sex,-0.5423167848699764,-10.592774,-9.279517,-1.3132572
Ecuador,political violence,-0.6855275443510738,-11.316352,-9.858423,-1.4579287
Ecuador,death penalty,-0.4098514758413236,-10.503296,-9.461764,-1.0415316
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-11.43773,-9.8776865,-1.5600433
Greece,avoiding a fare on public transport,-0.6914508493455862,-10.723204,-9.703544,-1.0196595
Greece,stealing property,-0.9709902370990239,-11.613392,-10.056824,-1.5565677
Greece,cheating on taxes,-0.8491198658843251,-11.29072,-9.682455,-1.6082642
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-11.712108,-10.010719,-1.7013887
Greece,homosexuality,-0.1633535004321521,-10.495077,-9.401804,-1.093274
Greece,prostitution,-0.33750118404849866,-10.492778,-9.086098,-1.4066805
Greece,abortion,-0.2055414192818773,-9.959452,-9.067655,-0.89179695
Greece,divorce,0.3035914702581369,-10.39139,-10.136312,-0.25507838
Greece,sex before marriage,0.42597328786587096,-10.647321,-9.6256895,-1.021631
Greece,suicide,-0.8033314404694303,-10.949574,-9.8592,-1.0903748
Greece,euthanasia,-0.5317672712855585,-10.346743,-9.475853,-0.8708895
Greece,for a man to beat his wife,-0.9706674092639003,-11.442933,-9.796647,-1.6462862
Greece,parents beating children,-0.9508439992580227,-10.79756,-9.397303,-1.4002568
Greece,violence against other people,-0.9575656058068118,-11.762941,-10.23838,-1.5245607
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-12.029538,-10.569391,-1.460147
Greece,having casual sex,-0.0340058728805532,-10.569805,-9.341488,-1.2283175
Greece,political violence,-0.899623352165725,-11.366819,-10.015483,-1.3513366
Greece,death penalty,-0.6814555360965168,-10.40914,-9.446188,-0.962952
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-11.788103,-9.923113,-1.8649902
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-11.058577,-9.715495,-1.3430817
Indonesia,stealing property,-0.876442775691837,-11.948931,-10.096364,-1.852567
Indonesia,cheating on taxes,-0.666353481574277,-11.582277,-9.676554,-1.905722
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-11.812775,-9.900631,-1.912143
Indonesia,homosexuality,-0.8643949688164175,-11.085234,-9.4131975,-1.6720368
Indonesia,prostitution,-0.8741599637870399,-10.981264,-9.071023,-1.9102417
Indonesia,abortion,-0.8719420955562516,-10.608195,-9.054952,-1.553244
Indonesia,divorce,-0.6242804814233386,-10.592604,-9.650475,-0.9421296
Indonesia,sex before marriage,-0.8572521207064387,-11.090052,-9.571032,-1.519019
Indonesia,suicide,-0.8923317683881065,-11.426996,-9.912317,-1.5146788
Indonesia,euthanasia,-0.7354099160308004,-10.955675,-9.359667,-1.5960085
Indonesia,for a man to beat his wife,-0.8514114865804479,-11.627481,-9.721356,-1.9061248
Indonesia,parents beating children,-0.6807511737089202,-11.070711,-9.40432,-1.6663911
Indonesia,violence against other people,-0.8081029386193704,-12.111734,-10.299585,-1.8121488
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,-12.319029,-10.559416,-1.7596128
Indonesia,having casual sex,-0.884430512016719,-10.957744,-9.327092,-1.6306518
Indonesia,political violence,-0.8260991712319146,-11.763933,-10.061333,-1.7026001
Indonesia,death penalty,-0.47064194409327154,-10.802911,-9.52947,-1.2734406
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,-11.858602,-10.147078,-1.7115237
Jordan,avoiding a fare on public transport,,-10.986495,-9.921578,-1.064917
Jordan,stealing property,-0.9164814814814816,-12.1467085,-10.291789,-1.8549194
Jordan,cheating on taxes,-0.7543075346931173,-11.773535,-9.89861,-1.8749241
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,-11.967056,-10.102155,-1.8649023
Jordan,homosexuality,-0.9397489539748954,-10.950755,-9.536806,-1.4139496
Jordan,prostitution,,-11.170121,-9.286619,-1.8835024
Jordan,abortion,-0.7969156447417317,-10.758567,-9.273096,-1.4854707
Jordan,divorce,-0.375847024969832,-10.600346,-9.94519,-0.655155
Jordan,sex before marriage,-0.9436069235064211,-11.1996975,-9.703522,-1.4961764
Jordan,suicide,-0.9477777777777779,-11.473073,-10.065633,-1.4074402
Jordan,euthanasia,-0.8888888888888887,-11.078044,-9.520113,-1.5579314
Jordan,for a man to beat his wife,-0.8682579332038117,-11.74722,-9.86036,-1.8868592
Jordan,parents beating children,-0.6559079948061585,-11.121077,-9.51566,-1.6054169
Jordan,violence against other people,-0.9089647515958922,-12.240007,-10.429537,-1.8104706
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,-12.573103,-10.786555,-1.7865479
Jordan,having casual sex,,-11.047552,-9.46583,-1.5817235
Jordan,political violence,-0.9324965132496514,-11.913522,-10.258062,-1.6554596
Jordan,death penalty,-0.036477283328668716,-10.734236,-9.570154,-1.1640809
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,-12.115308,-9.957376,-2.1579313
Libya,avoiding a fare on public transport,-0.865308102862688,-11.313119,-9.669928,-1.6431913
Libya,stealing property,-0.9648021308980211,-12.025667,-10.146031,-1.8796356
Libya,cheating on taxes,-0.8903269101716039,-11.827268,-9.770519,-2.0567477
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954329,-12.023401,-10.015818,-2.0075839
Libya,homosexuality,-0.9739614390777179,-11.5732,-9.638227,-1.9349731
Libya,prostitution,-0.9703436529405873,-11.544973,-9.400577,-2.144397
Libya,abortion,-0.8707321886717979,-11.139393,-9.279875,-1.8595184
Libya,divorce,-0.4038707142155418,-10.899835,-9.456076,-1.4437593
Libya,sex before marriage,-0.9741784037558686,-11.590998,-9.601557,-1.9894409
Libya,suicide,-0.9664422983123598,-11.873492,-10.247324,-1.6261688
Libya,euthanasia,-0.9534654441486741,-11.330532,-9.366808,-1.9637239
Libya,for a man to beat his wife,-0.8444638864586371,-11.669737,-9.733963,-1.9357729
Libya,parents beating children,-0.5446680276076601,-11.1718445,-9.405344,-1.7665008
Libya,violence against other people,-0.9318933644677955,-12.203611,-10.29256,-1.9110506
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,-12.789528,-10.988027,-1.8015019
Libya,having casual sex,-0.9856440511307768,-11.339865,-9.413756,-1.9261084
Libya,political violence,-0.9570146899339447,-11.858154,-10.096695,-1.7614596
Libya,death penalty,-0.21288014311270126,-10.857988,-9.426931,-1.4310579
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,-12.140651,-10.076811,-2.06384
Maldives,avoiding a fare on public transport,-0.6836701957009946,-11.299879,-9.754842,-1.5450381
Maldives,stealing property,-0.9344508918977004,-12.087365,-10.229852,-1.8575134
Maldives,cheating on taxes,-0.9124839124839125,-11.735309,-9.843451,-1.8918583
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,-12.154856,-10.150859,-2.003995
Maldives,homosexuality,-0.9419824448726183,-11.274584,-9.628041,-1.6465425
Maldives,prostitution,-0.9496410586092361,-11.325804,-9.359227,-1.9665772
Maldives,abortion,-0.6599164255866281,-10.648397,-9.154204,-1.4941927
Maldives,divorce,0.049764049764049766,-10.74174,-9.716185,-1.0255556
Maldives,sex before marriage,-0.8560703560703561,-11.2976055,-9.572981,-1.7246246
Maldives,suicide,-0.9084589883434927,-11.563477,-10.10452,-1.458957
Maldives,euthanasia,-0.7767021619877379,-11.096914,-9.46455,-1.6323639
Maldives,for a man to beat his wife,-0.963784420872174,-11.851386,-9.9098425,-1.9415438
Maldives,parents beating children,-0.916720188396489,-11.205119,-9.4929695,-1.7121493
Maldives,violence against other people,-0.9466409514625522,-12.253965,-10.432881,-1.8210846
Maldives,"terrorism as a political, ideological or religious mean",-0.951998285653059,-12.69785,-10.943112,-1.7547367
Maldives,having casual sex,-0.9272104474416615,-11.194595,-9.459524,-1.7350712
Maldives,political violence,-0.9521202361782072,-11.967399,-10.307062,-1.6603363
Maldives,death penalty,0.37447765991642556,-10.757856,-9.456958,-1.3008974
New Zealand,claiming government benefits to which you are not entitled,-0.7808338790657062,-11.604948,-10.194939,-1.41001
New Zealand,avoiding a fare on public transport,-0.744888023369036,-10.962064,-10.107712,-0.8543518
New Zealand,stealing property,-0.9143473570658037,-12.023649,-10.474455,-1.5491943
New Zealand,cheating on taxes,-0.8238218763510593,-11.478905,-9.951948,-1.5269563
New Zealand,someone accepting a bribe in the course of their duties,-0.9236178729849617,-12.048451,-10.3125105,-1.7359406
New Zealand,homosexuality,0.40620490620490624,-10.34135,-9.586162,-0.755188
New Zealand,prostitution,-0.034142907426962334,-10.320398,-9.26417,-1.0562288
New Zealand,abortion,0.29105911608454843,-9.78114,-9.2877445,-0.49339604
New Zealand,divorce,0.5089605734767025,-10.238002,-10.291887,0.05388496
New Zealand,sex before marriage,0.5333106344342299,-10.606749,-10.002428,-0.60432136
New Zealand,suicide,-0.4877344877344877,-10.779739,-9.889502,-0.89023745
New Zealand,euthanasia,0.3568573712458604,-10.276476,-9.835128,-0.44134837
New Zealand,for a man to beat his wife,-0.9697068051498432,-11.729294,-10.046786,-1.6825073
New Zealand,parents beating children,-0.8950677506775067,-11.047597,-9.67901,-1.3685853
New Zealand,violence against other people,-0.8555446942543717,-12.122302,-10.609881,-1.5124207
