country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-10.882917,-9.62999,-1.2529284
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.84153,-10.4428005,-0.39872843
Cyprus,stealing property,-0.898989898989899,-11.348187,-10.181745,-1.1664425
Cyprus,cheating on taxes,-0.8644713261648745,-11.335875,-10.202726,-1.1331476
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-11.099257,-9.99077,-1.1084869
Cyprus,homosexuality,-0.39444444444444443,-11.193284,-10.587076,-0.6062076
Cyprus,prostitution,-0.7247097844112769,-11.632504,-10.501337,-1.1311678
Cyprus,abortion,-0.551994301994302,-10.936728,-10.268,-0.6687284
Cyprus,divorce,-0.06657436252451827,-10.707452,-10.249503,-0.4579479
Cyprus,sex before marriage,-0.09383249340052796,-10.982637,-10.706985,-0.27565202
Cyprus,suicide,-0.8317426652527397,-11.137355,-10.3960085,-0.74134636
Cyprus,euthanasia,-0.617310443490701,-10.664535,-10.0874,-0.57713354
Cyprus,for a man to beat his wife,-0.9285473542298618,-11.128727,-9.902661,-1.2260662
Cyprus,parents beating children,-0.894500561167228,-11.5734,-10.218273,-1.3551261
Cyprus,violence against other people,-0.905656159177286,-11.4026165,-10.433832,-0.96878356
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-11.446561,-10.389987,-1.0565727
Cyprus,having casual sex,-0.5917642882499113,-11.83417,-10.721545,-1.1126258
Cyprus,political violence,-0.9269776876267748,-11.391269,-10.57402,-0.8172477
Cyprus,death penalty,-0.6278858182645286,-10.933001,-10.101787,-0.83121234
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.441881,-10.019821,-1.42206
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-11.280106,-10.778512,-0.501594
Ecuador,stealing property,-0.7960171226502885,-11.904151,-10.654963,-1.2491887
Ecuador,cheating on taxes,-0.7032668726013293,-11.919956,-10.584679,-1.3352776
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-11.63632,-10.47933,-1.1569903
Ecuador,homosexuality,-0.398976735206101,-11.791032,-10.860775,-0.93025696
Ecuador,prostitution,-0.451775683138151,-12.1272335,-10.8298435,-1.2973896
Ecuador,abortion,-0.6555274735561172,-11.439097,-10.515221,-0.92387736
Ecuador,divorce,-0.2515705578996718,-11.366546,-10.644318,-0.7222277
Ecuador,sex before marriage,-0.33447001989201475,-11.653336,-10.986383,-0.6669517
Ecuador,suicide,-0.6826471141191953,-11.787555,-10.824801,-0.96275294
Ecuador,euthanasia,-0.4759380521775284,-11.084498,-10.354538,-0.7299601
Ecuador,for a man to beat his wife,-0.806577480490524,-12.008382,-10.651004,-1.3573776
Ecuador,parents beating children,-0.4899116689911669,-12.169393,-10.637827,-1.5315667
Ecuador,violence against other people,-0.7385402138540214,-12.090639,-10.823763,-1.2668756
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-12.286585,-11.02825,-1.2583357
Ecuador,having casual sex,-0.5423167848699764,-12.45516,-11.251684,-1.2034748
Ecuador,political violence,-0.6855275443510738,-11.9853,-10.709792,-1.2755082
Ecuador,death penalty,-0.4098514758413236,-11.586467,-10.470397,-1.1160696
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-10.813881,-9.728818,-1.0850633
Greece,avoiding a fare on public transport,-0.6914508493455862,-10.814955,-10.610053,-0.20490117
Greece,stealing property,-0.9709902370990239,-11.377362,-10.33639,-1.040974
Greece,cheating on taxes,-0.8491198658843251,-11.472204,-10.353108,-1.1190965
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-11.1401005,-10.129649,-1.0104517
Greece,homosexuality,-0.1633535004321521,-11.216895,-10.851274,-0.3656215
Greece,prostitution,-0.33750118404849866,-11.725827,-10.698967,-1.0268596
Greece,abortion,-0.2055414192818773,-10.977446,-10.498366,-0.47907883
Greece,divorce,0.3035914702581369,-10.870935,-10.513939,-0.35699636
Greece,sex before marriage,0.42597328786587096,-11.070574,-10.920155,-0.15041976
Greece,suicide,-0.8033314404694303,-11.273163,-10.709631,-0.56353205
